,company_name,promotion_price,no_promotion_price,departure_date,departure_time,arrival_time,arrival_date,arrival_location,departure_location,class,has_return,type,search_id
0,Expresso Do Sul,,99.87,2023-06-07,00:05,06:35,2023-06-07,"Sao Paulo, SP - Tiete","Rio de Janeiro, RJ - Rodov. do Rio",Semileito - DD,True,Return,1
1,Expresso Do Sul,,99.87,2023-06-07,00:10,06:40,2023-06-07,"Sao Paulo, SP - Tiete","Rio de Janeiro, RJ - Rodov. do Rio",Semileito - DD,True,Return,1
2,Expresso Do Sul,,99.87,2023-06-07,00:25,06:55,2023-06-07,"Sao Paulo, SP - Tiete","Rio de Janeiro, RJ - Rodov. do Rio",Semileito - DD,True,Return,1
3,1001,,99.87,2023-06-07,02:00,08:30,2023-06-07,"Sao Paulo, SP - Tiete","Rio de Janeiro, RJ - Rodov. do Rio",Semileito - DD,True,Return,1
4,Águia Branca EB,,139.9,2023-06-07,06:00,12:15,2023-06-07,"Sao Paulo, SP - Tiete","Rio de Janeiro, RJ - Rodov. do Rio",Semileito - DD,True,Return,1
5,Expresso Do Sul,,99.87,2023-06-07,06:30,13:00,2023-06-07,"Sao Paulo, SP - Tiete","Rio de Janeiro, RJ - Rodov. do Rio",Semileito - DD,True,Return,1
6,Catarinense,,99.99,2023-06-07,09:00,15:20,2023-06-07,"Sao Paulo, SP - Tiete","Rio de Janeiro, RJ - Rodov. do Rio",Semileito - DD,True,Return,1
7,Catarinense,,149.99,2023-06-07,13:00,21:45,2023-06-07,"Sao Paulo, SP - Barra Funda","Rio de Janeiro, RJ - Rodov. do Rio",Semileito - DD,True,Return,1
8,Expresso Do Sul,,99.87,2023-06-07,14:30,21:00,2023-06-07,"Sao Paulo, SP - Tiete","Rio de Janeiro, RJ - Rodov. do Rio",Semileito - DD,True,Return,1
9,Expresso Do Sul,,119.87,2023-06-07,16:30,23:00,2023-06-07,"Sao Paulo, SP - Tiete","Rio de Janeiro, RJ - Rodov. do Rio",Semileito - DD,True,Return,1
10,1001,,99.87,2023-06-07,17:30,23:45,2023-06-07,"Sao Paulo, SP - Tiete","Rio de Janeiro, RJ - Rodov. do Rio",Semileito - DD,True,Return,1
11,Expresso Do Sul,,99.87,2023-06-07,18:05,00:35,2023-06-08,"Sao Paulo, SP - Tiete","Rio de Janeiro, RJ - Rodov. do Rio",Semileito - DD,True,Return,1
12,Águia Branca EB,,139.9,2023-06-07,20:00,02:15,2023-06-08,"Sao Paulo, SP - Tiete","Rio de Janeiro, RJ - Rodov. do Rio",Semileito - DD,True,Return,1
13,Expresso Do Sul,,119.87,2023-06-07,21:45,03:45,2023-06-08,"Sao Paulo, SP - Tiete","Rio de Janeiro, RJ - Rodov. do Rio",Semileito - DD,True,Return,1
14,Águia Branca EB,,139.9,2023-06-07,23:10,05:25,2023-06-08,"Sao Paulo, SP - Tiete","Rio de Janeiro, RJ - Rodov. do Rio",Semileito - DD,True,Return,1
15,Expresso Do Sul,,119.87,2023-06-07,23:58,05:58,2023-06-08,"Sao Paulo, SP - Tiete","Rio de Janeiro, RJ - Rodov. do Rio",Semileito - DD,True,Return,1
16,Penha,,90.46,2023-06-07,00:10,06:10,2023-06-07,"Sao Paulo, SP - Tiete","Rio de Janeiro, RJ - Rodov. do Rio",Semileito,True,Return,1
17,Kaissara,,89.81,2023-06-07,05:15,12:45,2023-06-07,"Sao Paulo, SP - Tiete","Rio de Janeiro, RJ - Rodov. do Rio",Semileito,True,Return,1
18,Penha,,86.07,2023-06-07,09:30,15:30,2023-06-07,"Sao Paulo, SP - Tiete","Rio de Janeiro, RJ - Rodov. do Rio",Semileito,True,Return,1
19,Águia Branca EB,,139.9,2023-06-07,12:15,18:30,2023-06-07,"Sao Paulo, SP - Tiete","Rio de Janeiro, RJ - Rodov. do Rio",Semileito,True,Return,1
20,Águia Branca EB,,139.9,2023-06-07,14:15,20:30,2023-06-07,"Sao Paulo, SP - Tiete","Rio de Janeiro, RJ - Rodov. do Rio",Semileito,True,Return,1
21,Kaissara,,139.99,2023-06-07,17:00,23:00,2023-06-07,"Sao Paulo, SP - Tiete","Rio de Janeiro, RJ - Rodov. do Rio",Semileito,True,Return,1
22,AGUIA FLEX,,139.91,2023-06-07,22:50,06:05,2023-06-08,"Sao Paulo, SP - Tiete","Rio de Janeiro, RJ - Barra da Tijuca - Parque das Rosas",Semileito,True,Return,1
