Company Name,Search ID,Promotion Price,No Promotion Price,Departure Date,Departure Time,Arrival Time,Arrival Date,Arrival Location,Departure Location,Class
Expresso Do Sul,1,,89.87,2023-07-16 00:00:00,00:05,06:35,2023-07-16,"Sao Paulo, SP - Tiete","Rio de Janeiro, RJ - Rodov. do Rio",Semileito - DD
Expresso Do Sul,1,,259.9,2023-07-16 00:00:00,00:05,06:35,2023-07-16,"Sao Paulo, SP - Tiete","Rio de Janeiro, RJ - Rodov. do Rio",Leito-Cama
Águia Branca EB,1,,269.99,2023-07-16 00:00:00,00:05,06:20,2023-07-16,"Sao Paulo, SP - Tiete","Rio de Janeiro, RJ - Rodov. do Rio",Leito - Cama DD
Águia Branca EB,1,,79.9,2023-07-16 00:00:00,00:05,06:20,2023-07-16,"Sao Paulo, SP - Tiete","Rio de Janeiro, RJ - Rodov. do Rio",Semileito - DD
Expresso Do Sul,1,,89.87,2023-07-16 00:00:00,00:25,06:55,2023-07-16,"Sao Paulo, SP - Tiete","Rio de Janeiro, RJ - Rodov. do Rio",Semileito - DD
Expresso Do Sul,1,,259.9,2023-07-16 00:00:00,00:25,06:55,2023-07-16,"Sao Paulo, SP - Tiete","Rio de Janeiro, RJ - Rodov. do Rio",Leito-Cama
1001,1,,79.87,2023-07-16 00:00:00,00:35,07:05,2023-07-16,"Sao Paulo, SP - Tiete","Rio de Janeiro, RJ - Rodov. do Rio",Semileito - DD
Águia Branca EB,1,,79.9,2023-07-16 00:00:00,06:00,12:15,2023-07-16,"Sao Paulo, SP - Tiete","Rio de Janeiro, RJ - Rodov. do Rio",Semileito - DD
Expresso Do Sul,1,,89.87,2023-07-16 00:00:00,06:30,13:00,2023-07-16,"Sao Paulo, SP - Tiete","Rio de Janeiro, RJ - Rodov. do Rio",Semileito - DD
1001,1,,199.9,2023-07-16 00:00:00,07:30,13:35,2023-07-16,"Sao Paulo, SP - Tiete","Rio de Janeiro, RJ - Rodov. do Rio",Cama - Direto
